IATA;NOMBRE;CIUDAD;ESTADO
BQK;Glynco Jetport;Brunswick;GA
VLD;Valdosta Regional;Valdosta;GA
HHH;Hilton Head;NA;NA
SGF;Springfield-Branson Regional;Springfield;MO
LYH;Lynchburg Municipal-Preston Glenn;Lynchburg;VA
BMI;Central Illinois Regional;Bloomington;IL
FSM;Fort Smith Regional;Fort Smith;AR
DSM;Des Moines International;Des Moines;IA
MSN;Dane County Regional;Madison;WI
OAJ;Albert J Ellis;Jacksonville;NC
EVV;Evansville Regional;Evansville;IN
FLO;Florence Regional;Florence;SC
EWN;Craven County Regional;New Bern;NC
MHT;Manchester;Manchester;NH
GTR;Golden Triangle Regional;Columbus-Starkville-West Point;MS
MLU;Monroe Regional;Monroe;LA
MEI;Key;Meridian;MS
MLI;Quad City;Moline;IL
GRK;Robert Gray AAF;Killeen;TX
LFT;Lafayette Regional;Lafayette;LA
PIA;Greater Peoria Regional;Peoria;IL
ATW;Outagamie County Regional;Appleton;WI
FWA;Fort Wayne International;Fort Wayne;IN
AVP;Wilkes-Barre/Scranton Intl;Wilkes-Barre/Scranton;PA
CID;Eastern Iowa;Cedar Rapids;IA
SBN;South Bend Regional;South Bend;IN
AEX;Alexandria International;Alexandria;LA
LWB;Greenbrier Valley;Lewisburg;WV
ABY;Southwest Georgia Regional;Albany;GA
EYW;Key West International;Key West;FL
MDW;Chicago Midway;Chicago;IL
ITO;Hilo International;Hilo;HI
MQT;Marquette County Airport;NA;NA
SBP;San Luis Obispo Co-McChesney;San Luis Obispo;CA
SBA;Santa Barbara Municipal;Santa Barbara;CA
MRY;Monterey Peninsula;Monterey;CA
TXK;Texarkana Regional-Webb;Texarkana;AR
CLL;Easterwood;College Station;TX
ACT;Waco Regional;Waco;TX
LBB;Lubbock International;Lubbock;TX
CRP;Corpus Christi International;Corpus Christi;TX
MAF;Midland International;Midland;TX
GGG;Gregg County;Longview;TX
AMA;Amarillo International;Amarillo;TX
ABI;Abilene Regional;Abilene;TX
CMI;University of Illinois-Willard;Champaign/Urbana;IL
LRD;Laredo International;Laredo;TX
TYR;Tyler Pounds;Tyler;TX
ROW;Roswell Industrial Air Center;Roswell;NM
GJT;Walker;Grand Junction;CO
GRB;Austin Straubel International;Green Bay;WI
RST;Rochester International;Rochester;MN
LSE;La Crosse Municipal;La Crosse;WI
TVC;Cherry Capital;Traverse City;MI
AZO;Kalamazoo County;Kalamazoo;MI
DAL;Dallas Love;Dallas;TX
DBQ;Dubuque Municipal;Dubuque;IA
CWA;Central Wisconsin;Mosinee;WI
TOL;Toledo Express;Toledo;OH
FAR;Hector International;Fargo;ND
MBS;Mbs International;Saginaw;MI
DLH;Duluth International;Duluth;MN
BIS;Bismarck Municipal;Bismarck;ND
GFK;Grand Forks International;Grand Forks;ND
MOT;Minot International;Minot;ND
FSD;Joe Foss;Sioux Falls;SD
LAN;Capital City;Lansing;MI
BIL;Billings Logan Intl;Billings;MT
RAP;Rapid City Regional;Rapid City;SD
BZN;Gallatin;Bozeman;MT
HTS;Tri-State/Walker-Long;Huntington;WV
BGR;Bangor International;Bangor;ME
FCA;Glacier Park Intl;Kalispell;MT
IDA;Idaho Falls Regional;Idaho Falls;ID
PSC;Tri-Cities;Pasco;WA
LWS;Lewiston-Nez Perce County;Lewiston;ID
ACV;Arcata;Arcata/Eureka;CA
BTM;Bert Mooney;Butte;MT
EUG;Mahlon Sweet;Eugene;OR
HLN;Helena Regional;Helena;MT
MSO;Missoula International;Missoula;MT
MFR;Rogue Valley International;Medford;OR
COD;Yellowstone Regional;Cody;WY
RDM;Roberts;Redmond;OR
JAC;Jackson Hole;Jackson;WY
CPR;Natrona County Intl;Casper;WY
GTF;Great Falls Intl;Great Falls;MT
BFL;Meadows;Bakersfield;CA
IYK;Inyokern;Inyokern;CA
SMX;Santa Maria Pub/Capt G Allan Hancock;Santa Maria;CA
OXR;Oxnard;Oxnard;CA
RDD;Redding Municipal;Redding;CA
PMD;Palmdale Production Flight;Palmdale;CA
CEC;Jack McNamara;Crescent City;CA
SGU;St George Muni;St George;UT
MOD;Modesto City-County-Harry Sham;Modesto;CA
OTH;North Bend Muni;North Bend;OR
YUM;Yuma MCAS-Yuma International;Yuma;AZ
CIC;Chico Municipal;Chico;CA
CLD;MC Clellan-Palomar Airport;NA;NA
LMT;Klamath Falls International;Klamath Falls;OR
IPL;Imperial County;Imperial;CA
MTJ;Montrose Regional;Montrose;CO
LNK;Lincoln Municipal;Lincoln;NE
SPI;Capital;Springfield;IL
HDN;Yampa Valley;Hayden;CO
ASE;Aspen-Pitkin Co/Sardy;Aspen;CO
CDC;Cedar City Muni;Cedar City;UT
EKO;Elko Regional;Elko;NV
PIH;Pocatello Regional;Pocatello;ID
SUN;Friedman Memorial;Hailey;ID
TWF;Joslin Field - Magic Valley;Twin Falls;ID
GCC;Gillette-Campbell County;Gillette;WY
RKS;Rock Springs-Sweetwater County;Rock Springs;WY
HRL;Valley International;Harlingen;TX
ISP;Long Island - MacArthur;Islip;NY
LCH;Lake Charles Regional;Lake Charles;LA
BRO;Brownsville/S.Padre Island International;Brownsville;TX
FLG;Flagstaff Pulliam;Flagstaff;AZ
DRO;Durango-La Plata County;Durango;CO
GUC;Gunnison County;Gunnison;CO
